#Num,collapses/collapsed,reconstruction/irreparable,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time_impractical,reconstruction/time-sequential,reconstruction/time-parallel,event_time/month,event_time/weekday?,event_time/hour
1777,0.0,0.0,0.0,961496.6812063095,0.0,1050.5286884699217,168.6737803762749,12,1,18
1778,0.0,0.0,0.0,1079347.0180102284,0.0,777.2790413554989,174.92670154481092,9,1,14
1779,0.0,0.0,0.0,730150.3570697193,0.0,643.1513432674748,146.45458692531537,5,0,18
1780,0.0,0.0,0.0,780141.5649197451,0.0,616.2900245857936,135.33736442254698,3,1,18
1781,0.0,0.0,0.0,909427.4830753785,0.0,779.7098131975735,130.65454001143627,7,0,2
1782,0.0,0.0,0.0,1068700.4803222786,0.0,976.1539628274646,173.7472897064994,8,1,11
1783,0.0,0.0,0.0,1145296.5162400045,0.0,1214.0529585725233,249.58649188277445,12,1,10
1784,0.0,0.0,0.0,1857527.2456288347,0.0,1120.066459371923,200.0301966959827,1,0,6
1785,0.0,0.0,0.0,1576686.413817984,0.0,1218.142110046548,156.64140809881607,1,1,5
1786,0.0,0.0,0.0,1146092.3486523833,0.0,832.8648204669962,81.70263540069202,7,1,4
1787,0.0,0.0,0.0,1471912.1211222666,0.0,1527.4998049478224,263.2598153778738,8,1,20
1788,0.0,0.0,0.0,1237014.095295872,0.0,1109.1887566164182,181.829269361812,6,1,6
1789,0.0,0.0,0.0,1397195.9746495218,0.0,1168.2493700643881,239.4874582756071,12,0,18
1790,0.0,0.0,0.0,1590687.5440826723,0.0,972.2699576244739,107.34044152587643,4,1,6
1791,0.0,0.0,0.0,1468653.3713604817,0.0,1254.9970752219974,166.82564865191242,2,1,10
1792,0.0,0.0,0.0,1129313.1451351817,0.0,899.0095718626194,200.90086073623607,6,1,5
1793,0.0,0.0,0.0,873305.7737162833,0.0,685.8112764835367,141.94914411489006,5,1,16
1794,0.0,0.0,0.0,1241300.0402747376,0.0,970.8071449844876,203.22106218816873,3,0,13
1795,0.0,0.0,0.0,792669.1374551188,0.0,677.3969989840394,198.4484386877809,4,1,20
1796,0.0,0.0,0.0,1088216.4042317634,0.0,890.7168004737878,131.49981193245762,9,1,3
